Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B6269,77,32000,117.9,26.1,20.9,13.8,9.2,32.4,19.2,545.5,127,622.1
B6271,77,32000,123.1,28.7,24.6,14.6,9.8,31.4,21.7,706,143.1,681.4
B6343,77,32000,115.4,26.6,22.7,14.1,8.8,31.4,20,603.8,124.1,628
B6353,77,32000,109.8,27.9,22.2,15,9.1,30.2,18.5,619.4,136.5,558.7
B6363/6360,77,32000,120,27.9,22,14.8,8.9,30.5,19.2,613.8,131.7,585.6
B6371,77,32000,122.2,28.9,23.6,14.8,9.5,31.3,21.4,682,140.6,669.8
B6389,77,32000,117.7,26.3,21.1,13.5,8.8,30.9,18.1,554.9,118.8,559.3
B6390,77,32000,111.6,26.2,22.2,13.9,9.1,29.2,20.4,581.6,126.5,595.7
B6396,77,32000,115.5,27.2,22,15.4,9.7,31,19.6,598.4,149.4,607.6
B6415,77,32000,123.6,28.3,24.4,16.3,11,32.8,21.5,690.5,179.3,705.2
B6472,77,32000,121.8,28.4,21.3,14.8,9.9,32.6,19.1,604.9,146.5,622.7
B6473,77,32000,122.7,27.9,22,14.6,9.7,32.4,19.6,613.8,141.6,635
K3305,98,Unk,118.2,29.2,23.2,15.2,9.5,33.9,20.7,677.4,144.4,701.7
K3306,98,Unk,119.2,27.9,23,13.9,9.8,31.1,20.6,641.7,136.2,640.7
K3307,98,Unk,122.4,29.2,23.5,15.3,8.9,32.8,21.6,686.2,136.2,708.5
K3308,98,Unk,122,29.9,23.6,15.4,10,33.9,21.4,705.6,154,725.5
UCMP9834,,Unk,,,,19,11,32.5,18.5,,209,601.3
M1,,0,121.2,28.7,20.9,14.7,9.6,31.7,20.3,599.8,141.1,643.5
M2,,0,120.9,28.6,22,14.8,9.9,31.2,20.5,629.2,146.5,639.6
M3,,0,112.4,26.1,21,13.6,9.2,28.3,20.4,548.1,125.1,577.3
M4,,0,110.7,26.1,20.3,13.7,8.8,27.9,20,529.8,120.6,558
M5,,0,113.6,26.4,20.7,13.1,9.3,28.3,19.2,546.5,121.8,543.4
M6,,0,113.2,26.4,20.3,12.7,8.9,28.4,19,535.9,113,539.6
M7,,0,113,27.5,22.2,13.5,9.3,28.6,17.7,610.5,125.6,506.2
M8,,0,115,27.5,21,13.8,9.4,29.8,19.2,577.5,129.7,572.2
151087,?,0,113.8,27.3,20.2,13.5,8.5,28,19,551.5,114.8,532
151087,?,0,111.2,27.4,20.4,13.7,8.5,27.7,19.5,559,116.5,540.2
151086,?,0,110,26.9,20.3,13.9,8.8,28.4,19.2,546.1,122.3,545.3
151086,?,0,109.6,27,20,13.4,8.9,28.3,19.6,540,119.3,554.7
44888,?,0,111.7,27.2,21,13.7,8.9,30,19.6,571.2,121.9,588
44888,?,0,111.7,27,20.9,13.5,8.9,29.8,19.7,564.3,120.2,587.1
152997,?,0,117,27.6,20.6,14.4,9.4,30,19.8,568.6,135.4,594
152997,?,0,117.1,27.3,21.2,14.2,9.5,30.1,19.5,578.8,134.9,587
120363,?,0,110.3,26,20.4,12.8,8.3,27.5,19.3,530.4,106.2,530.8
120363,?,0,109.6,25.8,20.8,12.8,8.3,27.3,19.4,536.6,106.2,529.6
131373,?,0,113.8,26.9,19.6,13.1,8.6,27.2,18.4,527.2,112.7,500.5
131373,?,0,113.7,26.8,19.7,13.2,8.3,27.4,18.4,528,109.6,504.2
133377,AGE???,10000,115.1,28.7,22.1,15.1,9.5,30.7,20.1,634.3,143.5,617.1
133377,AGE???,10000,114.1,27.7,21.2,14,9.2,29.9,19.6,587.2,128.8,586
