A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,,
108.86,,,6.77,4.64,16.9,9.04,8.07,,,Rancho La Brea,R,adult,,,,,
111.97,17.11,10.54,6.76,4.79,17.03,9.55,8.31,,,Rancho La Brea,R,adult,,,,,
118.69,,,6.6,4.5,18.1,10.1,8.73,,,Rancho La Brea,R,adult,,,,,
117.8,18.22,11.38,6.92,4.59,19.44,10.07,9.47,,,Rancho La Brea,R,adult,,,,,
139.45,19.43,12.17,8.47,5.58,21.64,12.07,,67.37,20.77,Rancho La Brea,L,adult,,,spur fully developed,,
144.81,21.41,13.75,9.25,5.73,22.23,11.83,10.78,65.55,19.52,Rancho La Brea,L,adult,,,spur fully developed,,
139.87,22.07,13.57,8.48,5.01,20.67,10.23,9.7,64.1,15.97,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
142.12,22.82,14.49,8.93,6.23,22.39,13.14,11.29,65.62,19.23,Rancho La Brea,L,adult,,,spur fully developed,,
139.53,22.43,14.1,8.09,,,,11.31,65.61,12.28,Rancho La Brea,L,adult,,,spur spongy,,
138.27,20.5,13.28,8.62,5.67,22.19,11.95,10.53,67.43,,Rancho La Brea,L,adult,,,"spur=little bump, top broken off",,
150.02,22.63,14.56,9.68,6.34,23.1,13.28,11.5,71.37,18.69,Rancho La Brea,L,adult,Measurement G correct!! (=relatively larger than in other californica),,spur probably fully developed but a little rough surface,,
141.76,21.41,,8.72,5.79,22.52,12.85,11.01,,,Rancho La Brea,L,adult,,,spur broken off,,
139.52,,13.9,8.7,5.44,22.39,11.67,10.42,,,Rancho La Brea,L,adult,,,spur broken off,,
135.85,21,13.08,8.2,5.44,21.39,12.01,10.63,,,Rancho La Brea,L,adult,,,,,
,,,7.87,5.32,20.02,10.57,,61.77,12.54,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface, very short!,
144.41,23.51,13.58,9,5.79,23.01,12.97,11.51,64.31,21.51,Rancho La Brea,L,adult,,,spur fully developed,,
142.87,21.56,14.34,9,5.84,22.72,13.1,11.26,62.25,20.49,Rancho La Brea,L,adult,,,spur fully developed,,
136.1,21.89,13.83,8.43,6.24,21.69,11.82,10.54,65.33,17.19,Rancho La Brea,L,adult,,,spur fully developed,,
134.81,19.55,13.02,8.17,5.34,21.11,12.04,10.42,64.18,13.39,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface, very short!,
145.78,,,8.85,5.62,22.45,13.15,11.16,68.02,14.2,Rancho La Brea,L,adult,,,spur spongy,,
138.33,21.53,13.91,8.52,5.66,22.38,12.48,10.44,65.74,21.95,Rancho La Brea,L,adult,,,spur fully developed,,
141.15,21.9,13.13,8.43,5.63,22.64,13.18,10.88,69.83,19.05,Rancho La Brea,L,adult,,,spur probably fully developed but a little rough surface,,
141.97,,13.67,8.92,5.83,23.04,12.06,10.94,63.36,,Rancho La Brea,L,adult,,,spur broken off,,
